name,nametype,recclass,mass (g),fall,year,reclat,reclong,country,continent
Aachen,Valid,L5,21.0,Fell,1880,50.775,6.08333,Belgium,Europe
Aarhus,Valid,H6,720.0,Fell,1951,56.18333,10.23333,Denmark,Europe
Abee,Valid,EH4,107000.0,Fell,1952,54.21667,-113.0,Canada,North America
Acapulco,Valid,Acapulcoite,1914.0,Fell,1976,16.88333,-99.9,Mexico,North America
Achiras,Valid,L6,780.0,Fell,1902,-33.16667,-64.95,Argentina,South America
Adhi Kot,Valid,EH4,4239.0,Fell,1919,32.1,71.8,Pakistan,Asia
Adzhi-Bogdo (stone),Valid,LL3-6,910.0,Fell,1949,44.83333,95.16667,Mongolia,Asia
Agen,Valid,H5,30000.0,Fell,1814,44.21667,0.61667,France,Europe
Aguada,Valid,L6,1620.0,Fell,1930,-31.6,-65.23333,Argentina,South America
Aguila Blanca,Valid,L,1440.0,Fell,1920,-30.86667,-64.55,Argentina,South America
Aioun el Atrouss,Valid,Diogenite-pm,1000.0,Fell,1974,16.39806,-9.57028,Mauritania,Africa
Aïr,Valid,L6,24000.0,Fell,1925,19.08333,8.38333,Niger,Africa
Akaba,Valid,L6,779.0,Fell,1949,29.51667,35.05,Jordan,Asia
Akbarpur,Valid,H4,1800.0,Fell,1838,29.71667,77.95,India,Asia
Akwanga,Valid,H,3000.0,Fell,1959,8.91667,8.43333,Nigeria,Africa
Akyumak,Valid,"Iron, IVA",50000.0,Fell,1981,39.91667,42.81667,Turkey,Asia
Al Rais,Valid,CR2-an,160.0,Fell,1957,24.41667,39.51667,Saudi Arabia,Asia
Al Zarnkh,Valid,LL5,700.0,Fell,2001,13.66033,28.96,Sudan,Africa
Alais,Valid,CI1,6000.0,Fell,1806,44.11667,4.08333,France,Europe
Albareto,Valid,L/LL4,2000.0,Fell,1766,44.65,11.01667,Italy,Europe
Alberta,Valid,L,625.0,Fell,1949,2.0,22.66667,Dem. Rep. Congo,Africa
Alby sur Chéran,Valid,Eucrite-mmict,252.0,Fell,2002,45.82133,6.01533,France,Europe
Aldsworth,Valid,LL5,700.0,Fell,1835,51.78333,-1.78333,United Kingdom,Europe
Aleppo,Valid,L6,3200.0,Fell,1873,36.23333,37.13333,Syria,Asia
Alessandria,Valid,H5,908.0,Fell,1860,44.88333,8.75,Italy,Europe
Alexandrovsky,Valid,H4,9251.0,Fell,1900,50.95,31.81667,Ukraine,Europe
Alfianello,Valid,L6,228000.0,Fell,1883,45.26667,10.15,Italy,Europe
Allegan,Valid,H5,32000.0,Fell,1899,42.53333,-85.88333,United States of America,North America
Allende,Valid,CV3,2000000.0,Fell,1969,26.96667,-105.31667,Mexico,North America
Almahata Sitta,Valid,Ureilite-an,3950.0,Fell,2008,20.74575,32.41275,Sudan,Africa
Alta'ameem,Valid,LL5,6000.0,Fell,1977,35.27333,44.21556,Iraq,Asia
Ambapur Nagla,Valid,H5,6400.0,Fell,1895,27.66667,78.25,India,Asia
Andhara,Valid,Stone-uncl,2700.0,Fell,1880,26.58333,85.56667,India,Asia
Andover,Valid,L6,3200.0,Fell,1898,44.61667,-70.75,United States of America,North America
Andreevka,Valid,L3,600.0,Fell,1969,48.7,37.5,Ukraine,Europe
Andura,Valid,H6,17900.0,Fell,1939,20.88333,76.86667,India,Asia
Northwest Africa 5815,Valid,L5,256.8,Found,,0.0,0.0,,
Angra dos Reis (stone),Valid,Angrite,1500.0,Fell,1869,-22.96667,-44.31667,Brazil,South America
Ankober,Valid,H4,6500.0,Fell,1942,9.53333,39.71667,Ethiopia,Africa
Anlong,Valid,H5,2500.0,Fell,1971,25.15,105.18333,China,Asia
Aomori,Valid,L6,320.0,Fell,1984,40.81056,140.78556,Japan,Asia
Appley Bridge,Valid,LL6,15000.0,Fell,1914,53.58333,-2.71667,United Kingdom,Europe
Apt,Valid,L6,3200.0,Fell,1803,43.86667,5.38333,France,Europe
Arbol Solo,Valid,H5,810.0,Fell,1954,-33.0,-66.0,Argentina,South America
Archie,Valid,H6,5070.0,Fell,1932,38.5,-94.3,United States of America,North America
Arroyo Aguiar,Valid,H5,7450.0,Fell,1950,-31.41667,-60.66667,Argentina,South America
Asco,Valid,H6,41.0,Fell,1805,42.45,9.03333,France,Europe
Ash Creek,Valid,L6,9500.0,Fell,2009,31.805,-97.01,United States of America,North America
Ashdon,Valid,L6,1300.0,Fell,1923,52.05,0.3,United Kingdom,Europe
Assisi,Valid,H5,2000.0,Fell,1886,43.03333,12.55,Italy,Europe
Atarra,Valid,L4,1280.0,Fell,1920,25.25417,80.625,India,Asia
Atemajac,Valid,L6,94.2,Fell,1896,20.06667,-103.66667,Mexico,North America
Athens,Valid,LL6,265.0,Fell,1933,34.75,-87.0,United States of America,North America
Atoka,Valid,L6,1384.2,Fell,1945,34.31667,-96.15,United States of America,North America
Aubres,Valid,Aubrite,800.0,Fell,1836,44.38333,5.16667,France,Europe
Aumale,Valid,L6,50000.0,Fell,1865,36.16667,3.66667,Algeria,Africa
Aumieres,Valid,L6,2000.0,Fell,1842,44.33333,3.23333,France,Europe
Ausson,Valid,L5,50000.0,Fell,1858,43.08333,0.58333,France,Europe
Avanhandava,Valid,H4,9330.0,Fell,1952,-21.46028,-49.95083,Brazil,South America
Avce,Valid,"Iron, IIAB",1230.0,Fell,1908,46.0,13.5,Italy,Europe
Avilez,Valid,H,146.0,Fell,1855,25.0,-103.5,Mexico,North America
Awere,Valid,L4,134.0,Fell,1968,2.71667,32.83333,Uganda,Africa
Aztec,Valid,L6,2830.0,Fell,1938,36.8,-108.0,United States of America,North America
Bachmut,Valid,L6,18000.0,Fell,1814,48.6,38.0,Ukraine,Europe
Bahjoi,Valid,"Iron, IAB-sLL",10322.0,Fell,1934,28.48333,78.5,India,Asia
Bald Mountain,Valid,L4,3700.0,Fell,1929,35.96667,-82.48333,United States of America,North America
